,city,1900,city.1,1910,city.2,1920,city.3,1930,city.4,1940,city.5,1950,city.6,1960,city.7,1970,city.8,1980,city.9,1990,city.10,2000,city.11,2010
Uruapan,-1.0,0.0,48.0,13172.0,50.0,13764.0,40.0,16708.0,40.0,20679.0,50.0,31407.0,39.0,45602.0,41.0,83540.0,55.0,153206.0,52.0,187673.0,56.0,225826.0,54.0,264439.0
San Pedro,-1.0,0.0,49.0,13111.0,27.0,18252.0,62.0,13204.0,56.0,15725.0,-1.0,0.0,72.0,26046.0,-1.0,0.0,85.0,94101.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Valle Hermoso,-1.0,0.0,55.0,12037.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,95.0,19363.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Santa Rosalia,-1.0,0.0,65.0,10083.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Tehuacan,-1.0,0.0,68.0,10062.0,65.0,10776.0,60.0,13547.0,52.0,16319.0,89.0,23255.0,55.0,35747.0,70.0,48240.0,66.0,113474.0,58.0,164636.0,53.0,240507.0,52.0,296899.0
Coatzacoalcos,-1.0,0.0,71.0,9098.0,69.0,8704.0,83.0,8311.0,66.0,13791.0,75.0,25339.0,52.0,37008.0,48.0,71547.0,46.0,188612.0,39.0,271825.0,45.0,307724.0,44.0,347257.0
Guaymas,-1.0,0.0,72.0,9081.0,75.0,7032.0,80.0,8530.0,94.0,8847.0,98.0,21839.0,57.0,34832.0,59.0,57816.0,79.0,98126.0,55.0,175109.0,62.0,180316.0,64.0,203430.0
Heroica Zitacuaro,-1.0,0.0,74.0,9049.0,-1.0,0.0,36.0,18670.0,80.0,11416.0,-1.0,0.0,80.0,23418.0,79.0,41079.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Chilpancingo,-1.0,0.0,76.0,8062.0,78.0,6082.0,82.0,8374.0,95.0,8822.0,94.0,22891.0,66.0,29926.0,81.0,36961.0,77.0,98935.0,57.0,169161.0,54.0,233011.0,53.0,287875.0
Tuxpam,-1.0,0.0,78.0,7714.0,61.0,11581.0,71.0,11567.0,68.0,13424.0,-1.0,0.0,83.0,23299.0,90.0,34227.0,81.0,97353.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Monclova,-1.0,0.0,80.0,7019.0,57.0,12637.0,45.0,15956.0,43.0,18734.0,42.0,34209.0,43.0,43310.0,42.0,81178.0,47.0,188556.0,41.0,261412.0,46.0,302899.0,45.0,339462.0
Ciudad del Carmen,-1.0,0.0,81.0,7011.0,72.0,7479.0,88.0,7201.0,99.0,7752.0,-1.0,0.0,87.0,20944.0,86.0,35465.0,-1.0,0.0,82.0,83810.0,76.0,126020.0,70.0,169466.0
Mexicali,-1.0,0.0,82.0,6821.0,76.0,6823.0,50.0,14853.0,42.0,18820.0,14.0,65718.0,7.0,172626.0,8.0,263574.0,8.0,510664.0,14.0,601938.0,14.0,764602.0,13.0,936826.0
Santa Barbara,-1.0,0.0,83.0,6743.0,-1.0,0.0,-1.0,0.0,64.0,13946.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
