,city,2010,city.1,2001,city.2,1991,city.3,1981,city.4,1970,city.5,1960,city.6,1950,city.7,1940,city.8,1930,city.9,1920,city.10,1910,city.11,1900
Granollers,99.0,59571.0,86.0,53105.0,79.0,51873.0,79.0,45348.0,88.0,30172.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
La Linea de la Concepcion,-1.0,0.0,73.0,59437.0,70.0,58315.0,64.0,56609.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Linares,-1.0,0.0,76.0,57578.0,69.0,59249.0,68.0,55122.0,64.0,51996.0,59.0,46710.0,48.0,52833.0,39.0,47640.0,35.0,42279.0,28.0,40044.0,26.0,36417.0,24.0,37715.0
Torrelavega,-1.0,0.0,81.0,55477.0,66.0,60023.0,65.0,56490.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Segovia,-1.0,0.0,83.0,54368.0,76.0,54375.0,75.0,50759.0,72.0,40885.0,70.0,36720.0,85.0,29683.0,83.0,24360.0,76.0,18167.0,99.0,16010.0,90.0,15092.0,-1.0,0.0
Vilanova i la Geltru,-1.0,0.0,84.0,54230.0,90.0,45864.0,82.0,43833.0,81.0,35784.0,93.0,25774.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Cerdanyola del Valles,-1.0,0.0,85.0,53343.0,73.0,56612.0,90.0,40078.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Elda,-1.0,0.0,88.0,51593.0,77.0,54350.0,73.0,53128.0,70.0,41500.0,67.0,37260.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Merida,-1.0,0.0,92.0,50271.0,84.0,49284.0,86.0,41027.0,77.0,36961.0,75.0,33210.0,-1.0,0.0,88.0,22479.0,85.0,15002.0,-1.0,0.0,96.0,11271.0,-1.0,0.0
Avila,-1.0,0.0,94.0,49712.0,89.0,45977.0,89.0,40173.0,87.0,30185.0,87.0,27090.0,-1.0,0.0,-1.0,0.0,84.0,15215.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
