cityName,city,1904,city.1,1914,city.2,1920,city.3,1930,city.4,1940,city.5,1950,city.6,1960,city.7,1970,city.8,1980,city.9,1990,city.10,2000,city.11,2010
b22,-1,0,-1,0,85,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b23,-1,0,-1,0,86,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b24,-1,0,-1,0,87,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b25,-1,0,-1,0,88,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b26,-1,0,-1,0,89,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b27,-1,0,-1,0,90,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b28,-1,0,-1,0,91,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b29,-1,0,-1,0,92,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b30,-1,0,-1,0,93,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b31,-1,0,-1,0,94,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b32,-1,0,-1,0,95,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b33,-1,0,-1,0,96,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b34,-1,0,-1,0,97,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b35,-1,0,-1,0,98,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b36,-1,0,-1,0,99,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b37,-1,0,-1,0,100,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b38,-1,0,-1,0,101,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Ube,-1,0,-1,0,-1,0,44,61299,35,100747,39,146964,47,166676,84,152902,88,169024,90,175156,91,174452,-1,0
Miyazaki,-1,0,-1,0,-1,0,47,58901,61,66508,46,125685,54,158396,60,202982,53,264986,56,287487,54,305870,47,400583
Kiry,-1,0,-1,0,-1,0,52,53000,46,86191,54,115284,76,123092,92,133193,-1,0,-1,0,-1,0,-1,0
Hachinohe,-1,0,-1,0,-1,0,53,52979,54,73539,58,104395,45,174301,57,208817,62,238297,67,241147,68,241962,96,237615
a1,-1,0,-1,0,-1,0,66,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
a2,-1,0,-1,0,-1,0,67,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
a3,-1,0,-1,0,-1,0,68,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
