,city,1901,city.1,1911,city.2,1921,city.3,1931,city.4,1941,city.5,1951,city.6,c1961,city.7,c1971,city.8,c1981,city.9,c1991,city.10,2002,city.11,2011
Kelowna,-1,0,-1,0,82,2520,73,4793,-1,0,-1,0,-1,0,40,80200,40,100251,38,125314,30,155950,21,186126
c1,-1,0,-1,0,87,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
c2,-1,0,-1,0,88,2,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
c3,-1,0,-1,0,89,3,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
c4,-1,0,-1,0,90,4,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
c5,-1,0,-1,0,91,5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
c6,-1,0,-1,0,92,6,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
c7,-1,0,-1,0,93,7,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
c8,-1,0,-1,0,94,8,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
c9,-1,0,-1,0,95,9,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
c10,-1,0,-1,0,96,10,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
c11,-1,0,-1,0,97,11,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
c12,-1,0,-1,0,98,12,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
c13,-1,0,-1,0,99,13,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Trail,-1,0,-1,0,-1,0,63,7640,83,9469,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Yorkton,-1,0,-1,0,-1,0,72,5071,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Prince George,-1,0,-1,0,-1,0,77,2536,-1,0,-1,0,-1,0,64,49138,60,67698,74,69789,73,72406,42,86846
Abbotsford,-1,0,-1,0,-1,0,94,510,-1,0,-1,0,-1,0,-1,0,85,42007,52,100045,31,155316,22,176538
b1,-1,0,-1,0,-1,0,95,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b2,-1,0,-1,0,-1,0,96,2,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b3,-1,0,-1,0,-1,0,97,3,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b4,-1,0,-1,0,-1,0,98,4,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
b5,-1,0,-1,0,-1,0,99,5,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Timmins,-1,0,-1,0,-1,0,-1,0,30,28833,49,27611,44,40125,74,41514,81,46148,98,47460,-1,0,67,44315
Granby,-1,0,-1,0,-1,0,-1,0,58,14279,52,26167,54,31520,76,39395,91,38190,90,53430,90,55460,44,82445
Thetford Mines,-1,0,-1,0,-1,0,-1,0,63,12786,75,19388,70,25891,-1,0,-1,0,-1,0,-1,0,-1,0
Corner Brook,-1,0,-1,0,-1,0,-1,0,65,12571,62,23125,71,25445,-1,0,-1,0,-1,0,-1,0,-1,0
Cap-de-la-Madeleine,-1,0,-1,0,-1,0,-1,0,70,12035,-1,0,68,26915,-1,0,-1,0,-1,0,-1,0,-1,0
Forest Hill,-1,0,-1,0,-1,0,-1,0,71,11858,76,19097,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Victoriaville,-1,0,-1,0,-1,0,-1,0,77,10462,91,16123,85,21785,-1,0,-1,0,-1,0,-1,0,72,41925
New Toronto,-1,0,-1,0,-1,0,-1,0,82,9584,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
New Waterford,-1,0,-1,0,-1,0,-1,0,84,9323,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
North Vancouver,-1,0,-1,0,-1,0,-1,0,88,8932,74,19831,79,23730,98,31809,62,65400,-1,0,61,82310,-1,0
Rouyn-Noranda,-1,0,-1,0,-1,0,-1,0,89,8803,85,16875,56,30203,-1,0,-1,0,-1,0,-1,0,-1,0
Grand'Mere,-1,0,-1,0,-1,0,-1,0,92,8627,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Mimico,-1,0,-1,0,-1,0,-1,0,96,8140,-1,0,97,18260,-1,0,-1,0,-1,0,-1,0,-1,0
Eastview,-1,0,-1,0,-1,0,-1,0,98,8040,77,19073,76,24693,-1,0,-1,0,-1,0,-1,0,-1,0
La Tuque,-1,0,-1,0,-1,0,-1,0,99,7942,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
North York,-1,0,-1,0,-1,0,-1,0,-1,0,8,168622,-1,0,6,504537,8,559591,9,562694,-1,0,-1,0
Scarborough,-1,0,-1,0,-1,0,-1,0,-1,0,10,139181,-1,0,10,332153,10,443446,10,524616,-1,0,-1,0
Etobicoke,-1,0,-1,0,-1,0,-1,0,-1,0,12,103104,-1,0,13,282232,13,298727,18,310071,-1,0,-1,0
East York,-1,0,-1,0,-1,0,-1,0,-1,0,19,69479,-1,0,31,104993,37,102075,50,102754,-1,0,-1,0
Saint John,-1,0,-1,0,-1,0,-1,0,-1,0,24,51906,-1,0,30,106704,35,114012,39,125068,43,125856,30,129827
Saanich,-1,0,-1,0,-1,0,-1,0,-1,0,34,38010,-1,0,51,65044,50,78706,53,95670,50,103654,-1,0
Jacques-Cartier,-1,0,-1,0,-1,0,-1,0,-1,0,41,33091,43,40821,-1,0,-1,0,-1,0,-1,0,-1,0
Saint James-Assiniboia,-1,0,-1,0,-1,0,-1,0,-1,0,51,26265,-1,0,48,70841,-1,0,-1,0,-1,0,-1,0
Richmond,-1,0,-1,0,-1,0,-1,0,-1,0,53,25943,-1,0,56,62141,42,96298,36,126678,27,164345,-1,0
Montreal-Nord,-1,0,-1,0,-1,0,-1,0,-1,0,54,25406,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
La Salle,-1,0,-1,0,-1,0,-1,0,-1,0,79,18922,-1,0,46,72915,53,76323,66,73841,-1,0,-1,0
East Kildonan,-1,0,-1,0,-1,0,-1,0,-1,0,80,18671,64,28178,-1,0,-1,0,-1,0,-1,0,-1,0
Leaside,-1,0,-1,0,-1,0,-1,0,-1,0,87,16596,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Mont-Royal,-1,0,-1,0,-1,0,-1,0,-1,0,93,15947,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
West Kildonan,-1,0,-1,0,-1,0,-1,0,-1,0,96,15201,87,21052,-1,0,-1,0,-1,0,-1,0,-1,0
Pointe-Claire,-1,0,-1,0,-1,0,-1,0,-1,0,97,15199,80,22893,-1,0,-1,0,-1,0,-1,0,-1,0
Oak Bay,-1,0,-1,0,-1,0,-1,0,-1,0,98,14757,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
Rimouski,-1,0,-1,0,-1,0,-1,0,-1,0,99,14300,82,22452,-1,0,-1,0,-1,0,-1,0,60,54630
Burlington,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,37,47026,38,86182,34,114911,35,129615,34,150836,-1,0
Sainte-Foy,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,59,29724,49,67813,58,68978,72,71162,72,72547,-1,0
Longueuil,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,78,24142,34,97532,31,124342,34,129918,41,128016,-1,0
Alma,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,90,19962,-1,0,-1,0,-1,0,-1,0,-1,0
Transcona,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,95,18286,-1,0,-1,0,-1,0,-1,0,-1,0
Laval,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,15,228150,17,268318,17,314426,15,343005,-1,0
