city,1901,city,1911,city,1921,city,1931,city,1941,city,1951,city,c1961,city,c1971,city,c1981,city,c1991,city,2002,city,2011
Sudbury,2027,,,,,,,Riviere du Loup,8752,Waterloo,16330,Alma,19962,Sydney Mines,34097,Saint-Hyacinthe,38249,Granby,53430,,,Saint-Georges,24940
Welland,2004,,,,,,,Amherst,8630,Victoriaville,16123,Charlottetown,19057,Anjou,33919,Granby,38190,Medicine Hat,52704,,,Stouffville,24654
Drummondville,2001,,,,,,,Grand'Mere,8627,Welland,15956,Pembroke,18860,Chateauguay,33785,Richmond Hill,37874,Saint-Jerome,51764,,,Okotoks,24470
Saint-Vital,1896,,,,,,,Lindsay,8497,Mont-Royal,15947,Kamloops,18748,Charlesbourg,33408,Pickering,37826,Saint-Hyacinthe,50190,,,Quispamsis-Rothesay,23862
Oakville,1840,,,,,,,Trenton,8331,Nanaimo,15257,Brampton,18553,Pierrefonds,33096,Lachine,37511,Stoney Creek,50015,,,Leduc,23827
Lachute,1822,,,,,,,Sydney Mines,8282,Pembroke,15240,Transcona,18286,Saint-Vital,33081,Anjou,37387,Repentigny,49663,,,Bradford,23024
Preston,1805,,,,,,,Mimico,8140,West Kildonan,15201,Orillia,18271,Richmond Hill,32411,Chateauguay,36978,Newcastle,49598,,,Innisfil,20365
Sainte-Therese,1727,,,,,,,Kamloops,8099,Pointe-Claire,15199,Mimico,18260,Charlottetown,32063,Stoney Creek,36828,Pierrefonds,48776,,,Midland,23791
Saint-Laurent,1703,,,,,,,Eastview,8040,Oak Bay,14757,Nanaimo,18091,North Vancouver,31809,Whitby,36736,Timmins,47460,,,Innisfil,20365
Grand Falls,1688,,,,,,,La Tuque,7942,Rimouski,14300,Brockville,17731,Pickering,31749,Brandon,36240,Welland,46934,,,Cochrane,17433
